Nome Pesquisado,ISBN,Data de Disponibilização,Número de páginas,Ano de publicação
Curso de direito comercial: sociedades,9786559919062,07/09/2021,480,2021
Orçamentos Públicos: a Lei 4.320/1964 comentada,9788553213382,,448,2019
"Execução: teoria geral, princípios fundamentais, procedimento no processo civil brasileiro",,28/05/2021,,2021
Mandado de Segurança Individual e Coletivo,9786556146911,28/04/2021,294,2021
Precatórios – O seu novo regime jurídico,9786559910953,5/28/22,338,2022
Comentários à lei de falências e de recuperação de empresas,9786556146065,28/05/2021,544,2021
Comentários ao Código de Defesa do Consumidor,9786559917075,44497,2032,2021
Greenwashing e o Direito do Consumidor: como prevenir (ou reprimir) o marketing ambiental ilícito,,,,
Inovações na Cobrança do Crédito Tributário,9786559916948,28/10/2021,420,2021
Dano Moral,9786556145402,28/05/2021,176,2021
Direito Constitucional Tributário e Segurança Jurídica: metódica da segurança jurídica do sistema constitucional tributário,,,,
Honorários Advocatícios: sucumbenciais e por arbitramento,9786559917099,28/10/2021,204,2021
Direito Ambiental Brasileiro,9786556148267,28/05/2021,850,2021
Para Entender Kelsen,9786556146447,,192,2018
Direito e poder: ensaio de epistemologia jurídica,,,,
"Introdução à lógica jurídica: pensamento, raciocínio e lógica no Direito",9786526009932,7/28/22,120,2022
"Introdução ao direito: teoria, filosofia e sociologia do direito",9786559914524,28/01/2022,720,2022
Planos de Saúde: a ótica da proteção do consumidor,9788553212408,,685,2018
"Corrupção Política: análise, problematização e proposta para o seu enfrentamento",9788553213108,,206,2019
Ética da Magistratura,9788553214211,,416,2019
Da Execução de Alimentos e Prisão do Devedor,9786550652821,28/04/2020,236,2020
Colaboração no Processo Civil: do modelo ao princípio,,28/05/2021,,2021
Leis Processuais Civis Comentadas e Anotadas,9788553216130,,3000,2019
Leis Civis Comentadas e Anotadas,9788553214334,,3040,2019
Leis constitucionais comentadas e anotadas,9788553213627,03/04/2019,1200,2019
Direito de Transportes,9786550651749,29/02/2020,352,2020
Regulação 4.0,9786556142319,28/09/2020,436,2020
Curso de Direito Tributário,9786559919505,04/08/2021,515,2021
O Tempo do Consumidor e o Menosprezo Planejado: o tratamento jurídico do tempo perdido e a superação das suas causas,9786556140278,26/06/2020,264,2020
Direito do Ambiente,9786556141312,28/11/2020,1776,2020
Mini Dicionário Jurídico RT,,,,
Crimes de Perigo Abstrato: uma análise das novas técnicas de tipificação no contexto da sociedade de risco,9786556144283,28/04/2021,568,2021
Estatais,9786556145396,28/05/2021,270,2021
Transação Extrajudicial na Administração Pública,9788553213696,,450,2019
Introdução à ciência do direito privado,9788553217250,,704,2019
Fundamentos de Direito Digital,9786550651312,,256,2020
Tributação das Cooperativas,9788553214372,,416,2019
Elementos de Direito Cooperativo,9788553218066,,296,2019
"Ativismo Jurídico em Processo Tributário: crise, teoria dos precedentes e efeitos do afastamento da estrita legalidade",,28/05/2021,,2021
Constituição e Código Tributário Comentados,9786550652418,26/03/2020,1500,2020
Microssistema de Recuperação do Crédito Fiscal: comentários às Leis de Execução Fiscal e Medida Cautelar,,28/05/2021,,2021
Processo Constitucional,9786559916511,28/11/21,1360,2021
Tratado de Direito Administrativo - Teoria geral e princípios do direito administrativo,,28/05/2021,,2021
Tratado de Direito Administrativo - Administração pública e servidores públicos,,,,
Tratado de Direito Administrativo - Direito administrativo dos bens e restrições estatais à propriedade,,,,
Tratado de Direito Administrativo: funções administrativas do Estado,,,,
Tratado de Direito Administrativo: licitação e contratos administrativos,,,,
Execução Civil nos Juizados Especiais,9786556147703,28/03/2021,236,2021
CLT Comentada,9786559913688,2/28/22,800,2022
Colaboração Premiada no Processo Penal,9786559917914,8/28/21,480,2021
Responsabilidade Penal da Pessoa Jurídica,9786550654320,30/06/2020,368,2020
Habeas Corpus,9786559916139,28/11/21,428,2021
Manual da Execução,9786556144382,28/01/2021,2032,2021
Manual dos Recursos Penais,9786559912582,3/28/22,746,2022
Manual de Direito Administrativo,9786559919031,04/08/2021,1100,2021
Curso de Direito Penal - Parte Geral,9786556144405,28/01/2021,800,2021
Direito penal: arts. 121 a 154-B do CP,,,,
Direito Penal: parte especial: arts. 155 a 234-B,9786559913084,3/28/22,818,2022
Decisão Judicial e Políticas Públicas,9788553214198,,192,2019
Processo penal,9786526009987,7/28/22,"1408, 1408",2022
"Curso de Direito Comercial: empresa e estabelecimento, títulos de crédito",,,,
"Curso de arbitragem, mediação e conciliação: resolução - CNI 125/2010",9786556140278,26/06/2020,264,2020
Curso de Execução Penal,9788553218103,,352,2019
Nulidades do Processo e da Sentença,9786556149127,28/01/2022,624,2022
Curso Básico de Previdência Complementar,9788553219407,,176,2019
Manual de Direito Urbanístico,9788553213832,,256,2019
Litigância climática no Brasil,9786556144283,28/04/2021,568,2021
Responsabilidade Civil por Acidente de Consumo na Internet,9786550652913,28/04/2020,524,2020
Resolução do Contrato por Inadimplemento,9786526009703,7/28/22,168,2022
O Advogado do Amanhã,9788553218745,,216,2019
"Publicidade Processual, Liberdade de Expressão e Super-Injunction",9788553217113,,256,2019
Nova Lei do Cadastro Positivo,9788553216161,,176,2019
Advocacia 4.0,9788553218011,,217,2019
Contrato de Seguro D & O,9786559912971,3/28/22,670,2022
Conteúdo Extra – Regulamento do Imposto de Renda Rir 2019 – Anotado e Comentado,9788553212408,,685,2018
Coisa Julgada & Questões prejudiciais,9788553216628,,400,2019
Embargos de Declaração,9786556142371,28/09/2020,224,2020
Coleção curso de tributos indiretos - ICMS,9788553219865,,660,2019
Retenções na Fonte de Impostos e Contribuições,9786550653590,27/05/2020,688,2020
Curso Prático de Imposto de Renda,9786556147895,28/06/2021,457,2021
Precedentes obrigatórios,9786559911516,5/28/22,408,2022
Prova e convicção,9788553218998,,944,2019
"Curso de Direito Comercial: contratos, falência e recuperação de empresas",9786556144283,28/04/2021,568,2021
Convenção Europeia dos Direitos Humanos,9788553216642,,448,2019
Privacidade e Redes Sociais Virtuais,9788553217304,,272,2019
Habeas Corpus no Supremo Tribunal Federal,9786559917877,28/09/21,554,2021
Infrações Ambientais,9786559916283,28/11/21,552,2021
"Governança, Compliance e Cidadania",9788553218073,,608,
Direito e Poder: ensaio e epistemologia jurídica,,,,
Governança Estratégica para Escritórios de Advocacia,9788553218936,,256,2019
Direito Digital: debates contemporâneos,9788553218042,,304,2019
Accountability e Transparência da Justiça Civil: uma perspectiva comparada,9786556144283,28/04/2021,568,2021
Nova Lei de Licitações e Contratos Comparada,9786556144283,28/04/2021,568,2021
Direito Processual Tributário Brasileiro: administrativo e judicial,9786559916832,28/10/2021,976,2021
Prática e Estratégia - Previdência Complementar,9788553219902,,192,2019
Compliance no Direito Ambiental,9786556142746,29/10/2020,520,2020
Compliance no Direito Penal,9786556142760,29/10/2020,256,2020
Compliance no Direito Trabalhista,9786556142777,29/10/2020,368,2020
Compliance no Direito Digital,9786556142784,29/10/2020,384,2020
Compliance no Direito Empresarial,9786556142807,29/10/2020,432,2020
Desconsideração da Personalidade Jurídica no Processo Civil,9786550654153,27/05/2020,144,2020
Licenciamento Ambiental,9786559911738,5/28/22,450,2022
Curso de Direito do Consumidor,9788553219858,,1096,2019
Guarda Compartilhada: física e jurídica,9786559912322,4/28/22,352,2022
Curso de Processo Penal,9786559914555,28/01/2022,1696,2022
Manual de IPI e ICMS,9786550652494,26/03/2020,740,2020
Curso Avançado de Direito Comercial,9786559913671,2/28/22,928,2022
Prática e Estratégia - Registro imobiliário,9788553219933,,256,2019
"Recursos Especial e Extraordinário: técnica de elaboração, processamento e julgamento",9788553218547,,368,2019
Direito Homoafetivo: criação e discussão nos poderes judiciário e legislativo,,,,
Jurisprudência do CADE comentada,9788553219872,,610,2019
LGPD: Lei Geral de Proteção de Dados Comentada,9786556147345,28/04/2021,272,2021
O Devido Processo Legal Coletivo: dos direitos aos litígios coletivos,9786559911400,5/28/22,680,2022
Tutela Coletiva: processo coletivo e técnicas de padronização das decisões,,28/05/2021,,2021
Contratos na Sociedade de Consumo: vontade e confiança,9786556144283,28/04/2021,568,2021
Curso Prático de Arbitragem e Administração Pública,9788553219216,,210,2019
Manual do Planejamento Patrimonial das Relações Afetivas e Sucessórias,9786559913596,2/28/22,416,2022
Prática e Estratégia - Gestão Jurídica Ambiental,9786556142098,28/09/2020,512,2020
"Análise Econômica do Processo Civil: como a economia, o direito e a psicologia podem vencer a tragédia da justiça",9786550654306,30/06/2020,848,2020
A Nova Lei de Abuso de Autoridade,9786556144283,28/04/2021,568,2021
Direito Econômico e Concorrencial,9786559910298,7/28/22,640,2022
Código Civil comentado: com jurisprudência selecionada e enunciados das Jornadas do STJ sobre o Código Civil,9786559913107,3/28/22,1240,2022
Comentários ao GDPR: regulamento geral de proteção de dados da União Europeia,,28/05/2021,,2021
Coisa Julgada,9788553216628,,400,2019
Arbitragem Tributária: desafios institucionais brasileiros e a experiência portuguesa,9788553219209,,400,
Confisco Alargado de Bens,9786550650087,,300,2019
Jurimetria,9786550650490,,192,2019
"Manual de Direito Processual Civil: teoria geral do processo, processo de conhecimento, recursos, precedentes",,28/05/2021,,2021
Da Privacidade à Proteção de Dados Pessoais: elementos da formação da Lei geral de proteção de dados,9786556144283,28/04/2021,568,2021
"Recurso Especial, Recurso Extraordinário e a Nova Função dos Tribunais Superiores: manual de implementação",9786556144283,28/04/2021,568,2021
Ética Geral e Profissional,9786550650681,24/01/2020,576,2020
Modulação: na alteração da jurisprudencia firme ou na de precedentes vinculantes,9786556144283,28/04/2021,568,2021
Crimes Culturalmente Motivados: ideologias e modelos penais,9788553218240,,320,2019
Manual de Juizados Especiais Cíveis Estaduais,9788553219940,,240,2019
Curso de Direito Civil: direito das coisas,9786550650995,,400,2020
"Curso de Direito Civil: família, sucessões",9786550650001,,336,2020
Introdução à ciência do Direito,9786550650551,,704,2020
A Criptografia no Direito Brasileiro,9788553219230,,256,2019
"Direito ao Esquecimento: entre a liberdade de expressão, a privacidade e a proteção de dados pessoais",,,,
Contrato de Pesquisa Clínica,9788553219582,,292,2019
Administração Pública: capítulo VII da Constituição Federal de 1988,,,,
Coleção Soluções em Direito Administrativo - Leis comentadas. Tombamento – Decreto-Lei 25/37,9788553219445,,221,2019
Desapropriação – Decreto-Lei 3.365/1941 e Lei 4.132/1962,9788553219452,,314,2019
Servidores Públicos – Lei 8.112/1990,9788553219469,,373,2019
Improbidade Administrativa - Lei 8.429/1992,9788553219476,,130,2019
Processo Administrativo - Lei 9.784/1999,9788553219483,,249,2019
Organizações Sociais - Lei 9.637/1998,9788553219490,,275,2019
Lei de Acesso à Informação - Lei 12.527/2011,9786550650346,,267,2019
Lei Anticorrupção – Lei 12.846/2013,,,306,2015
LINDB no Direito Público – Lei 13.655/2018,9786550650322,,103,2019
OAB: rumo à aprovação,9786550650575,28/01/2021,1088,2021
Jurisdição Adequada para os Processos Coletivos Transnacionais,9786550651725,29/02/2020,300,2020
Direito Internacional Privado,9786550652760,,496,2020
Lei de Recuperação de Empresas e Falência: Lei 11.101/2005 - comentada artigo por artigo,9786526009970,7/28/22,728,2022
Regulamento do Imposto de Renda: RIR 2020 anotado e comentado,9786556144283,28/04/2021,568,2021
Manual de Direito para Startups,9786550652500,26/03/2020,256,2020
Direito ao Recurso no Processo Penal,9786550653668,27/05/2020,400,2020
Fake News: a conexão entre a desinformação e o direito,9786559910441,6/28/22,464,2022
Curso de Processo Civil Coletivo,,28/05/2021,,2021
Direito Digital Aplicado 4.0,9786556142814,29/10/2020,336,2020
Processo Constitucional Brasileiro,9786559918157,28/08/21,1650,2021
Constituição Tributária Comentada,9786559917082,44497,428,2021
Comentários à Lei da Liberdade Econômica - Lei 13.874/2019,,,,
Ação Rescisória e Querela Nullitatis: semelhanças e diferenças,9786559910861,6/28/22,"480, 480",2022
"Crimes Contra o Sistema Financeiro Nacional: comentários à lei 7.492, de 16.6.86",9786556144283,28/04/2021,568,2021
O que muda com a Reforma da Previdência: regime geral e regime próprio dos servidores,9786556144283,28/04/2021,568,2021
Reforma da Previdência Social: comparativo e comentários à emenda constitucional nº 103/2019,,28/05/2021,,2021
Provas Negociadas: convenções processuais probatórias no processo civil,9786550654078,27/05/2020,300,2020
Manual da Nova Reforma Trabalhista: teoria e prática da medida provisória nº 905/2019,9786556144283,28/04/2021,568,2021
Direito Penal: arts. 235 a 311-A do CP,9786559913091,3/28/22,746,2022
Filhos para Cura: bebê medicamento como sujeito de direito,,,,
Securitização de Recebíveis: elementos constitutivos no direito brasileiro,9786556144283,28/04/2021,568,2021
Comentários à Lei da Multipropriedade (Lei Nº 13.777/2018),9786556145488,28/05/2021,133,2021
Comentários à Reforma da Previdência: emenda constitucional 103 de 2019,9786550650674,,168,2020
Introdução à Previdência Complementar,9786556142104,28/09/2020,192,2020
"Provas no Direito Digital: conceito da prova digital, procedimentos e provas digitais em espécie",9786559911417,5/28/22,192,2022
"Direito, Processo e Tecnologia",9786556149110,28/10/2021,784,2021
Sandbox: experimentalismo no direito exponencial,9786556144283,28/04/2021,568,2021
Comentários à lei geral de proteção de dados: Lei 13.709/2018,,,384,
"Novas Tecnologias, Plataformas Digitais e Direito do Trabalho: uma comparação entre Itália, Espanha e Brasil",,,,
Regulação de Meios de Pagamento,9786550653682,28/07/2020,144,2020
"Foro por prerrogativa de função no processo penal: investigação, processo e duplo grau de jurisdição",,28/05/2021,,2021
"A Impugnação Especificada dos Fatos no Processo Civil: retórica, história, dogmática",,28/05/2021,,2021
Crimes Hediondos: o mito da repressão penal,9786556144078,28/11/2020,152,2020
Execução Civil nos Juizados Especiais,9786556147703,28/03/2021,236,2021
Fake News e Regulação,9786556147529,03/12/21,448,2021
"Sucessão Legítima: as regras da sucessão legítima, as estruturas familiares contemporâneas e a vontade",9786556141404,28/08/2020,704,2020
"Inteligência Artificial e Direito: ética, regulação e responsabilidade",,,,
Código de Processo Penal Comentado,9786559918508,28/08/21,1750,2021
Processo de Execução e Cumprimento da Sentença: temas controversos,,28/05/2021,,2021
Técnica da Interpretação Jurídica: breviário para juristas,9786550653279,,590,2020
A Lei de liberdade econômica: uma análise material e processual da Lei nº 13.874/2019,9786556144283,28/04/2021,568,2021
"Comentários à Lei de Abuso de Autoridade: Lei nº 13.869, de 5 de setembro de 2019",9786556144283,28/04/2021,568,2021
"Cárcere e Trabalho: um diálogo entre a sociologia do trabalho, o sistema de penas e a execução penal",9786556140278,26/06/2020,264,2020
Precedentes no Processo do Trabalho: teoria geral e aspectos controvertidos,,28/05/2021,,2021
Incentivos Processuais: economia comportamental e nudges no processo civil,,28/05/2021,,2021
O Terceiro de Boa-Fé,9786550654191,27/05/2020,288,2020
Estudos em Homenagem à Professora Thereza Alvim,9786550653576,27/05/2020,592,2020
Mitigação de Danos na Responsabilidade Civil,9786550653729,27/05/2020,306,2020
Modulação: na alteração da jurisprudência firme ou de precedentes vinculantes,9786556144283,28/04/2021,568,2021
Consórcios Públicos,9786550653644,28/09/2020,306,2020
Direito Penal: parte especial: arts. 121 a 154-B,,,,
História do Registro de Imóveis,9786559912469,4/28/22,292,2022
Princípios do Registro de Imóveis Brasileiro,9786559912445,4/28/22,368,2022
A Dúvida no Registro de Imovéis,9786559912438,4/28/22,198,2022
Registro de Imóveis e Parcelamento do Solo,9786559912407,4/28/22,296,2022
Regularização Fundiária Urbana e Seus Mecanismos de Titulação de Ocupantes,,,342,
Condomínio e Incorporação Imobiliária,9786559912384,4/28/22,468,2022
Retificações no Registro de Imóveis,9786559912353,4/28/22,336,2022
Direito à Saúde,9786556142326,28/09/2020,546,2020
Os bens públicos e o registro de imóveis,9786559912421,4/28/22,272,2022
A Regra da Correlação à Luz do Código de Processo Civil,9786550654313,30/06/2020,228,2020
Data Protection Officer (Encarregado),9786559916498,28/11/21,576,2021
Diálogo das Fontes,9786550654368,30/06/2020,528,2020
Tutela da Evidência,9786550654382,30/06/2020,380,2020
Temas Atuais de Proteção de Dados,9786559912346,4/28/22,544,2022
Franchising,9786556144313,28/01/2021,976,2021
Direito Administrativo Sancionador,9786559914562,28/01/2022,512,2022
Teoria da Improbidade Administrativa,9786556142227,28/09/2020,448,2020
"Direito do Trabalho, Tecnologia, Fraternidade e OIT",,,,
Conexão Online e Hiperconfiança,9786556140773,28/07/2020,360,2020
Fashion Law,9786550654375,30/06/2020,436,2020
Manual de Direito Processual Civil,9786556149219,28/08/21,1935,2021
As Implicações da Covid-19 no Direito Administrativo,9786550654207,15/06/2020,880,2020
Regime Jurídico Emergencial e Transitório (Lei Nº 14.010/2020),9786550654238,29/10/2020,206,2020
LGPD - Lei Geral de Proteção de Dados Pessoais Comentada,9786559912483,4/28/22,474,2022
Impactos Jurídicos e Econômicos da Covid-19,9786550654221,30/06/2020,780,2020
Debates Contemporâneos em Direito Médico e da Saúde,9786556141428,28/08/2020,656,2020
Ação Civil Pública,9788553213672,,864,2019
Responsabilidade Civil do Médico,9786559917945,28/09/21,424,2021
Direito Público Digital,9786556140889,28/07/2020,256,2020
Direito Processual Tributário Brasileiro,9786559916832,28/10/2021,976,2021
A Invalidade do Negócio Jurídico,9786559914623,28/01/2022,328,2022
Curso de Processo Penal,9786559914555,28/01/2022,1696,2022
Jurisdição Constitucional em Perspectiva,9786556141398,28/08/2020,336,2020
Curso de Direito Processual Civil Moderno,9786559913701,2/28/22,1422,2022
Lei Geral de Proteção de Dados Pessoais Comentada,9786556147345,28/04/2021,272,2021
Atividade Legislativa do Poder Executivo,9786556144511,28/01/2021,348,2021
Prática do Processo do Trabalho: do presencial ao virtual,9786556144054,28/11/2020,234,2020
Transação Tributária na Prática da Lei Nº 13.988/2020,9786556142883,29/10/2020,420,2020
Direito Penal - Parte especial: arts. 312 a 359-H,9786559913053,3/28/22,832,2022
"Tributação da Nuvem: conceitos tecnológicos, desafios internos e internacionais",9786556146676,,400,2019
"ISS - Teoria, Prática e Jurisprudência: lei complementar 116/2003 anotada e comentada",9786556144283,28/04/2021,568,2021
Uma família paulista nas encostas da Serra do Mar: estudo genealógico sobre a família luizense Antunes de Andrade,,28/05/2021,,2021
"O Dia em que a Constituição foi Julgada: a história das ADC's 43, 44 e 54",9786556144283,28/04/2021,568,2021
Banking 4.0,9786556142302,28/09/2020,384,2020
Regulação 4.0: desafios da regulação diante de um novo paradigma científico,9786556144283,28/04/2021,568,2021
Reclamação nas Cortes Supremas: entre a autoridade da decisão e a eficácia do precedente,9786556142654,28/09/2020,144,2020
Superação para Frente e Modulação de Efeitos: precedente e controle de constitucionalidade no direito brasileiro,9786556144283,28/04/2021,568,2021
A Prova em Processo Civil,9786556142364,28/10/2020,148,2020
"Controle do Ato Administrativo e Consequencialismo Jurídico na Era da IA: judicialização, discricionariedade, compliance e LGPD",9786556144283,28/04/2021,568,2021
Presunções Judiciais: raciocínio probatório por inferências,9786556142289,28/09/2020,348,2020
Fundamentos da Responsabilidade Socioambiental das Instituições Financeiras,9786556142906,29/10/2020,240,2020
Comentários à Lei de Migração: Lei nº 13.445/2017,9786556144047,28/11/2020,100,2020
Direito Penal - Parte geral,9786559913572,2/28/22,720,2022
Direito Penal - Parte Especial: arts. 312 a 359-H,9786559913053,3/28/22,832,2022
Licitações e Contratos Administrativos,9786556144283,28/04/2021,568,2021
LGPD - Lei Geral de Proteção de Dados Pessoais: Manual de Implementação,,,384,
Criminologia,9786559910311,7/28/22,432,2022
O Legítimo Interesse e a LGPD,9786556147253,28/04/2021,352,2021
Curso de processo civil: teoria do processo civil,,28/05/2021,,2021
Curso de processo civil: tutela dos direitos mediante procedimento comum,9786559914579,28/01/2022,1236,2022
Curso de processo civil: tutela dos direitos mediante procedimentos diferenciados,,28/05/2021,,2021
"Eliminação, Desindexação e Esquecimento na Internet",9786556143408,28/11/2020,230,2020
Temas Atuais de Direito dos Seguros,9786556144108,15/12/2020,1954,2020
Cyber Risk: estratégias nacionais e corporativas sobre riscos e segurança cibernética,9786556143378,28/11/2020,384,2020
"Agência Nacional de Energia Elétrica – ANEEL: Lei Nº 9.427, de 26 de Dezembro de 1996",9786556144283,28/04/2021,568,2021
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis – Anp: Lei Nº 9.478, de 6 de Agosto de 1997",9786556144283,28/04/2021,568,2021
"Agência Nacional de Telecomunicações – Anatel: Lei nº 9.472, de 16 de julho de 1997",9786556144283,28/04/2021,568,2021
"Agência Nacional de Saúde Suplementar – ANS: Lei Nº 9.961, de 28 de Janeiro de 2000",9786556144283,28/04/2021,568,2021
Agências Reguladoras de Transportes: (ANTT e ANTAQ) e DNIT - Lei nº 10.233 de 5 de junho de 2001,9786556144283,28/04/2021,568,2021
